S3 Table. Full list of DEGs identified in vEDS patients' skin fibroblasts.						
Column #	Transcript ID	gene_assignment	Gene Symbol	RefSeq	p-value adjusted (FDR 5%)	Fold-Change 
7448	7929334	NM_001127182 // CEP55 // centrosomal protein 55kDa // 10q23.33 // 55165 /// NM_018131 /	CEP55	NM_001127182	0.00324483	-2.67525
28469	8138289	NM_001163147 // ETV1 // ets variant 1 // 7p21.3 // 2115 /// NM_001163148 // ETV1 // ets	ETV1	NM_001163147	0.00408477	-2.66182
13060	7984257	"NR_002756 // RNU5A-1 // RNA, U5A small nuclear 1 // 15q22.31 // 26831 /// ENST000003626"	RNU5A-1	NR_002756	1.07E-05	-2.6483
26322	8117422	"NM_003540 // HIST1H4F // histone cluster 1, H4f // 6p22.2 // 8361 /// ENST00000244537 /"	HIST1H4F	NM_003540	0.00149896	-2.63576
26661	8120838	NM_001166691 // TTK // TTK protein kinase // 6q14.1 // 7272 /// NM_003318 // TTK // TTK	TTK	NM_001166691	0.00838875	-2.62738
11656	7971296	NM_001002264 // EPSTI1 // epithelial stromal interaction 1 (breast) // 13q13.3 // 94240	EPSTI1	NM_001002264	0.00150225	-2.61998
4311	7897801	"ENST00000362477 // RNU5E-1 // RNA, U5E small nuclear 1 // 1p36.22 // 26829 /// NR_00275"	RNU5E-1	ENST00000362477	0.00318343	-2.61818
11657	7971311	NM_001127615 // ENOX1 // ecto-NOX disulfide-thiol exchanger 1 // 13q14.11 // 55068 /// 	ENOX1	NM_001127615	0.00250646	-2.60755
5489	7909708	NM_016343 // CENPF // centromere protein F // 1q41 // 1063 /// XM_011509082 // CENPF //	CENPF	NM_016343	0.00951151	-2.59745
9483	7948910	"NR_002565 // SNORD25 // small nucleolar RNA, C/D box 25 // 11q13 // 9303 /// ENST000003"	SNORD25	NR_002565	8.63E-05	-2.59177
5251	7906930	"NM_031423 // NUF2 // NUF2, NDC80 kinetochore complex component // 1q23.3 // 83540 /// N"	NUF2	NM_031423	0.00535025	-2.56507
13967	7994109	NM_005030 // PLK1 // polo-like kinase 1 // 16p12.2 // 5347 /// ENST00000300093 // PLK1 	PLK1	NM_005030	0.00467758	-2.56278
5320	7907657	NM_001286247 // RALGPS2 // Ral GEF with PH domain and SH3 binding motif 2 // 1q25.2 // 	RALGPS2	NM_001286247	9.12E-09	-2.55629
7423	7929012	NM_020799 // STAMBPL1 // STAM binding protein-like 1 // 10q23.31 // 57559 /// XM_006717	STAMBPL1	NM_020799	0.000605889	-2.55328
12934	7982889	NM_001243142 // NUSAP1 // nucleolar and spindle associated protein 1 // 15q15.1 // 5120	NUSAP1	NM_001243142	0.00200936	-2.5495
20124	8055702	NM_004688 // NMI // N-myc (and STAT) interactor // 2q23 // 9111 /// XM_005246941 // NMI	NMI	NM_004688	0.0021849	-2.52929
25505	8109830	NM_017785 // SPDL1 // spindle apparatus coiled-coil protein 1 // 5q35.1 // 54908 /// XM	SPDL1	NM_017785	0.0040044	-2.52621
27051	8124388	"NM_003537 // HIST1H3B // histone cluster 1, H3b // 6p22.2 // 8358 /// ENST00000621411 /"	HIST1H3B	NM_003537	0.00160388	-2.52562
23054	8085754	NM_001012409 // SGOL1 // shugoshin-like 1 (S. pombe) // 3p24.3 // 151648 /// NM_0010124	SGOL1	NM_001012409	0.00192736	-2.50597
27082	8124527	"NM_005322 // HIST1H1B // histone cluster 1, H1b // 6p22.1 // 3009 /// ENST00000331442 /"	HIST1H1B	NM_005322	0.00274796	-2.50409
18847	8043310	NM_022780 // RMND5A // required for meiotic nuclear division 5 homolog A // 2p11.2 // 6	RMND5A	NM_022780	0.000200819	-2.44333
6831	7923189	NM_001305792 // KIF14 // kinesin family member 14 // 1q32.1 // 9928 /// NM_014875 // KI	KIF14	NM_001305792	0.00542267	-2.43039
12923	7982757	NM_144508 // CASC5 // cancer susceptibility candidate 5 // 15q14 // 57082 /// NM_170589	KNL1	NM_144508	0.0048225	-2.42711
27415	8127987	"NR_002743 // SNORD50A // small nucleolar RNA, C/D box 50A // 6q14.3 // 26799 /// ENST00"	SNORD50A	NR_002743	1.54E-05	-2.41728
9475	7948894	ENST00000525239 // WDR74 // WD repeat domain 74 // 11q12.3 // 54663 /// ENST00000538098	WDR74	ENST00000525239	0.000180174	-2.41208
12987	7983527	"NM_001198999 // SEMA6D // sema domain, transmembrane domain (TM), and cytoplasmic domai"	SEMA6D	NM_001198999	4.14E-05	-2.39743
27083	8124531	"NM_003533 // HIST1H3I // histone cluster 1, H3i // 6p22.1 // 8354 /// ENST00000616365 /"	HIST1H3I	NM_003533	5.66E-06	-2.39622
29769	8149927	NM_001831 // CLU // clusterin // 8p21-p12 // 1191 /// NR_038335 // CLU // clusterin // 	CLU	NM_001831	0.00052578	-2.39503
12914	7982663	NM_001128628 // PAK6 // p21 protein (Cdc42/Rac)-activated kinase 6 // 15q14 // 56924 //	PAK6	NM_001128628	0.0048741	-2.37482
28499	8138566	NM_006547 // IGF2BP3 // insulin-like growth factor 2 mRNA binding protein 3 // 7p11 // 	IGF2BP3	NM_006547	0.0017703	-2.36955
8840	7943160	NR_002569 // SCARNA9 // small Cajal body-specific RNA 9 // 11q21 // 619383 /// uc001pdv	SCARNA9	NR_002569	1.88E-05	-2.34736
14113	7995697	NM_017839 // LPCAT2 // lysophosphatidylcholine acyltransferase 2 // 16q12.2 // 54947 //	LPCAT2	NM_017839	0.000242392	-2.34299
26142	8115851	NM_003714 // STC2 // stanniocalcin 2 // 5q35.1 // 8614 /// ENST00000265087 // STC2 // s	STC2	NM_003714	0.00102931	-2.32869
13215	7985829	NM_001113378 // FANCI // Fanconi anemia complementation group I // 15q26.1 // 55215 ///	FANCI	NM_001113378	0.00122276	-2.32792
9482	7948908	"NR_002564 // SNORD26 // small nucleolar RNA, C/D box 26 // 11q13 // 9302 /// ENST000003"	SNORD26	NR_002564	6.41E-05	-2.3173
22418	8079237	NM_020242 // KIF15 // kinesin family member 15 // 3p21.31 // 56992 /// XM_006713261 // 	KIF15	NM_020242	0.00574087	-2.30227
7442	7929258	NM_004523 // KIF11 // kinesin family member 11 // 10q24.1 // 3832 /// ENST00000260731 /	KIF11	NM_004523	0.00852799	-2.29174
25890	8113433	NM_001962 // EFNA5 // ephrin-A5 // 5q21 // 1946 /// XM_006714565 // EFNA5 // ephrin-A5 	EFNA5	NM_001962	0.00506723	-2.29068
31692	8168146	NM_012310 // KIF4A // kinesin family member 4A // Xq13.1 // 24137 /// XM_011530893 // K	KIF4A	NM_012310	0.000489572	-2.29047
6748	7922404	"NR_003940 // SNORD80 // small nucleolar RNA, C/D box 80 // 1q25.1 // 26774 /// ENST0000"	SNORD80	NR_003940	7.82E-05	-2.28793
27380	8127544	NM_001402 // EEF1A1 // eukaryotic translation elongation factor 1 alpha 1 // 6q14.1 // 	EEF1A1	NM_001402	1.86E-07	-2.27893
16434	8019772	NM_005782 // ALYREF // Aly/REF export factor // 17q25.3 // 10189 /// XR_933919 // ALYRE	ALYREF	NM_005782	4.40E-07	-2.27809
28892	8142061	NM_019042 // PUS7 // pseudouridylate synthase 7 (putative) // 7q22.3 // 54517 /// XM_00	PUS7	NM_019042	4.69E-05	-2.26554
14831	8003204	NM_016095 // GINS2 // GINS complex subunit 2 (Psf2 homolog) // 16q24.1 // 51659 /// ENS	GINS2	NM_016095	0.00010248	-2.26332
13394	7987642	"NM_016013 // NDUFAF1 // NADH dehydrogenase (ubiquinone) complex I, assembly factor 1 //"	NDUFAF1	NM_016013	1.86E-05	-2.26065
21076	8066117	NM_015474 // SAMHD1 // SAM domain and HD domain 1 // 20pter-q12 // 25939 /// XM_0052603	SAMHD1	NM_015474	0.00470751	-2.23076
27653	8130578	"NR_002960 // SNORA20 // small nucleolar RNA, H/ACA box 20 // 6q25.3 // 677806 /// ENST0"	SNORA20	NR_002960	0.00539526	-2.22746
