S3 Table. Full list of DEGs identified in vEDS patients' skin fibroblasts.						
Column #	Transcript ID	gene_assignment	Gene Symbol	RefSeq	p-value adjusted (FDR 5%)	Fold-Change 
6916	7924119	NM_001199809 // INTS7 // integrator complex subunit 7 // 1q32.3 // 25896 /// NM_0011998	INTS7	NM_001199809	0.000976286	-1.88731
9626	7950374	"NM_001288748 // P4HA3 // prolyl 4-hydroxylase, alpha polypeptide III // 11q13.4 // 2832"	P4HA3	NM_001288748	0.0100864	-1.88713
13473	7988838	"NM_001286430 // LEO1 // LEO1 homolog, Paf1/RNA polymerase II complex component // 15q21"	LEO1	NM_001286430	1.37E-05	-1.88422
30730	8159006	"NR_000017 // SNORD36B // small nucleolar RNA, C/D box 36B // 9q34 // 26814 /// ENST0000"	SNORD36B	NR_000017	8.73E-06	-1.88349
13149	7985166	NM_004136 // IREB2 // iron responsive element binding protein 2 // 15q25.1 // 3658 /// 	IREB2	NM_004136	2.09E-07	-1.88236
27626	8130374	NM_001142522 // FBXO5 // F-box protein 5 // 6q25.2 // 26271 /// NM_012177 // FBXO5 // F	FBXO5	NM_001142522	0.000467054	-1.87611
32518	8175288	NM_001306188 // MOSPD1 // motile sperm domain containing 1 // Xq26.3 // 56180 /// NM_01	MOSPD1	NM_001306188	0.0012208	-1.87447
31780	8168794	NM_006733 // CENPI // centromere protein I // Xq22.1 // 2491 /// XM_005262111 // CENPI 	CENPI	NM_006733	0.00716389	-1.87405
7613	7931187	NM_001007793 // BUB3 // BUB3 mitotic checkpoint protein // 10q26 // 9184 /// NM_004725 	BUB3	NM_001007793	0.000144247	-1.86973
6765	7922504	"NM_001001740 // RFWD2 // ring finger and WD repeat domain 2, E3 ubiquitin protein ligas"	RFWD2	NM_001001740	6.21E-05	-1.86802
28474	8138361	AY927233 // RPL36A // ribosomal protein L36a // Xq22.1 // 6173 /// BC001781 // RPL36A /	RPL36A	AY927233	3.55E-05	-1.86658
4561	7900167	NM_001256875 // CDCA8 // cell division cycle associated 8 // 1p34.3 // 55143 /// NM_018	CDCA8	NM_001256875	0.00722066	-1.86436
26749	8121510	NM_001289111 // RPF2 // ribosome production factor 2 homolog // 6q21 // 84154 /// NM_03	RPF2	NM_001289111	0.00564569	-1.86219
10531	7959408	NM_014708 // KNTC1 // kinetochore associated 1 // 12q24.31 // 9735 /// XM_006719706 // 	KNTC1	NM_014708	0.000870744	-1.85829
13530	7989611	"NM_001014812 // FAM96A // family with sequence similarity 96, member A // 15q22.31 // 8"	FAM96A	NM_001014812	3.17E-05	-1.85712
20533	8060745	NM_001270691 // SMOX // spermine oxidase // 20p13 // 54498 /// NM_175839 // SMOX // spe	SMOX	NM_001270691	0.000150447	-1.85652
18597	8040655	NM_033505 // EPT1 // ethanolaminephosphotransferase 1 // 2p23.3 // 85465 /// ENST000002	SELENOI	NM_033505	0.000269509	-1.85631
20242	8057554	ENST00000406752 // CACYBP // calcyclin binding protein // 1q24-q25 // 27101 /// OTTHUMT	CACYBP	ENST00000406752	0.000124878	-1.8541
24412	8099364	NM_053042 // ZNF518B // zinc finger protein 518B // 4p16.1 // 85460 /// XM_005248193 //	ZNF518B	NM_053042	0.000504537	-1.85192
9759	7951535	NM_153705 // KDELC2 // KDEL (Lys-Asp-Glu-Leu) containing 2 // 11q22.3 // 143888 /// XM_	KDELC2	NM_153705	0.00193226	-1.85082
19342	8047784	"NM_001285549 // ZDBF2 // zinc finger, DBF-type containing 2 // 2q33.3 // 57683 /// NM_0"	ZDBF2	NM_001285549	0.00466759	-1.8487
30607	8157650	NM_000962 // PTGS1 // prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase	PTGS1	NM_000962	0.00116997	-1.84756
11956	7973902	NM_001146282 // SRP54 // signal recognition particle 54kDa // 14q13.2 // 6729 /// NM_00	SRP54	NM_001146282	5.56E-07	-1.84736
12240	7976812	"NR_003232 // SNORD113-4 // small nucleolar RNA, C/D box 113-4 // 14q32.31 // 767564 ///"	SNORD113-4	NR_003232	0.00486482	-1.84712
28795	8141050	NM_001006 // RPS3A // ribosomal protein S3A // 4q31.2-q31.3 // 6189 /// ENST00000274065	RPS3A	NM_001006	3.05E-05	-1.84696
7276	7927599	NM_001079516 // ASAH2B // N-acylsphingosine amidohydrolase (non-lysosomal ceramidase) 2	ASAH2B	NM_001079516	0.000117616	-1.84559
4650	7901212	NM_001297565 // UQCRH // ubiquinol-cytochrome c reductase hinge protein // 1p34.1 // 73	UQCRH	NM_001297565	3.33E-05	-1.84439
29948	8151471	NM_014018 // MRPS28 // mitochondrial ribosomal protein S28 // 8q21.1-q21.2 // 28957 ///	MRPS28	NM_014018	0.00324711	-1.84348
11431	7969171	NR_002605 // DLEU1 // deleted in lymphocytic leukemia 1 (non-protein coding) // 13q14.3	DLEU1	NR_002605	4.51E-05	-1.84243
10813	7962349	NM_001099650 // GXYLT1 // glucoside xylosyltransferase 1 // 12q12 // 283464 /// NM_1736	GXYLT1	NM_001099650	9.31E-05	-1.84223
6302	7918008	NM_001918 // DBT // dihydrolipoamide branched chain transacylase E2 // 1p31 // 1629 ///	DBT	NM_001918	7.24E-06	-1.83871
9873	7952522	NM_001271985 // PUS3 // pseudouridylate synthase 3 // 11q24.2 // 83480 /// NM_031307 //	PUS3	NM_001271985	0.000579787	-1.83472
17505	8030364	"NR_000019 // SNORD34 // small nucleolar RNA, C/D box 34 // 19q13.3 // 26817 /// ENST000"	SNORD34	NR_000019	2.98E-05	-1.83421
6754	7922416	"NR_003941 // SNORD75 // small nucleolar RNA, C/D box 75 // 1q25.1 // 692195 /// uc009ww"	SNORD75	NR_003941	6.45E-05	-1.83326
25753	8112388	NM_001656 // TRIM23 // tripartite motif containing 23 // 5q12.3 // 373 /// NM_033227 //	TRIM23	NM_001656	2.96E-07	-1.83307
21693	8071920	NM_001278656 // SNRPD3 // small nuclear ribonucleoprotein D3 polypeptide // 22q11.23 //	SNRPD3	NM_001278656	3.39E-07	-1.8269
26074	8115205	NR_026867 // ZNF300P1 // zinc finger protein 300 pseudogene 1 (functional) // 5q33.1 //	ZNF300P1	NR_026867	0.0114504	-1.82639
16443	8019842	NM_001071 // TYMS // thymidylate synthetase // 18p11.32 // 7298 /// ENST00000323224 // 	TYMS	NM_001071	0.00245686	-1.82612
20087	8055426	NM_005915 // MCM6 // minichromosome maintenance complex component 6 // 2q21 // 4175 ///	MCM6	NM_005915	0.000401345	-1.82463
27747	8131441	AK123300 // LOC100419773 // zinc finger protein 33B pseudogene // --- // 100419773	LOC100419773	AK123300	0.00270196	-1.82353
24308	8098414	NM_021928 // SPCS3 // signal peptidase complex subunit 3 // 4q34.2 // 60559 /// ENST000	SPCS3	NM_021928	8.39E-05	-1.8232
15657	8011823	NM_032530 // ZNF594 // zinc finger protein 594 // 17p13 // 84622 /// XM_005256827 // ZN	ZNF594	NM_032530	5.27E-05	-1.81734
17225	8027390	"NM_006627 // POP4 // POP4 homolog, ribonuclease P/MRP subunit // 19q12 // 10775 /// NR_"	POP4	NM_006627	4.46E-06	-1.8168
29359	8146448	NM_014175 // MRPL15 // mitochondrial ribosomal protein L15 // 8q11.2-q13 // 29088 /// E	MRPL15	NM_014175	0.000966944	-1.8153
8841	7943162	NM_001286067 // C11orf54 // chromosome 11 open reading frame 54 // 11q21 // 28970 /// N	C11orf54	NM_001286067	0.00913208	-1.81412
31058	8162039	NM_032307 // C9orf64 // chromosome 9 open reading frame 64 // 9q21.32 // 84267 /// XM_0	C9orf64	NM_032307	0.000176501	-1.81054
9934	7953218	NM_001130862 // RAD51AP1 // RAD51 associated protein 1 // 12p13.2-p13.1 // 10635 /// NM	RAD51AP1	NM_001130862	0.00105333	-1.80898
19796	8052845	NM_022037 // TIA1 // TIA1 cytotoxic granule-associated RNA binding protein // 2p13 // 7	TIA1	NM_022037	3.65E-06	-1.80857
6191	7916862	NM_001002292 // WLS // wntless Wnt ligand secretion mediator // 1p31.3 // 79971 /// NM_	WLS	NM_001002292	0.010434	-1.80823
4493	7899480	"NR_002907 // SNORA73A // small nucleolar RNA, H/ACA box 73A // 1p36.1 // 6080 /// ENST0"	SNORA73A	NR_002907	0.000577404	-1.80818
4521	7899774	NM_004964 // HDAC1 // histone deacetylase 1 // 1p34 // 3065 /// XM_011541309 // HDAC1 /	HDAC1	NM_004964	0.000300007	-1.80517
6483	7919645	NM_001278719 // SV2A // synaptic vesicle glycoprotein 2A // 1q21.2 // 9900 /// NM_01484	SV2A	NM_001278719	3.23E-06	-1.80088
32488	8175052	"NM_001130846 // AIFM1 // apoptosis-inducing factor, mitochondrion-associated, 1 // Xq26"	AIFM1	NM_001130846	0.000798743	-1.80085
20287	8058127	NM_001162407 // CLK1 // CDC like kinase 1 // 2q33 // 1195 /// NM_004071 // CLK1 // CDC 	CLK1	NM_001162407	0.000106782	-1.80053
13069	7984330	NM_001287821 // ZWILCH // zwilch kinetochore protein // 15q22.31 // 55055 /// NM_001287	ZWILCH	NM_001287821	0.00300661	-1.79987
13411	7988031	OTTHUMT00000349866 // RPS3AP47 // ribosomal protein S3a pseudogene 47 // 15q15.2 // 146	RPS3AP47	OTTHUMT00000349866	9.12E-05	-1.79678
23014	8085287	"AF220047 // BRK1 // BRICK1, SCAR/WAVE actin-nucleating complex subunit // 3p25.3 // 558"	BRK1	AF220047	0.00012813	-1.79593
12659	7980990	NM_032490 // C14orf142 // chromosome 14 open reading frame 142 // 14q32.12 // 84520 ///	GON7	NM_032490	3.70E-06	-1.79566
12193	7976336	NM_175748 // UBR7 // ubiquitin protein ligase E3 component n-recognin 7 (putative) // 1	UBR7	NM_175748	0.00640015	-1.79302
18031	8035789	"NR_036455 // ZNF826P // zinc finger protein 826, pseudogene // 19p12 // 664701 /// BC01"	ZNF826P	NR_036455	0.00066017	-1.79205
7691	7932069	NM_014142 // NUDT5 // nudix hydrolase 5 // 10p14 // 11164 /// XM_011519304 // NUDT5 // 	NUDT5	NM_014142	0.00164127	-1.78977
27762	8131583	NM_001159767 // BZW2 // basic leucine zipper and W2 domains 2 // 7p21.1 // 28969 /// NM	BZW2	NM_001159767	0.000922887	-1.78605
13152	7985202	NM_001102667 // PSMA4 // proteasome subunit alpha 4 // 15q25.1 // 5685 /// NM_001102668	PSMA4	NM_001102667	2.33E-05	-1.78601
7356	7928401	NM_203298 // CHCHD1 // coiled-coil-helix-coiled-coil-helix domain containing 1 // 10q22	CHCHD1	NM_203298	1.64E-05	-1.78466
8890	7943690	NM_004398 // DDX10 // DEAD (Asp-Glu-Ala-Asp) box polypeptide 10 // 11q22-q23 // 1662 //	DDX10	NM_004398	0.00954563	-1.78237
25681	8111677	NM_001127671 // LIFR // leukemia inhibitory factor receptor alpha // 5p13-p12 // 3977 /	LIFR	NM_001127671	0.00106421	-1.7815
11343	7968226	NM_000982 // RPL21 // ribosomal protein L21 // 13q12.2 // 6144 /// ENST00000483765 // R	RPL21	NM_000982	0.000104342	-1.78039
32368	8174103	NM_000167 // GK // glycerol kinase // Xp21.3 // 2710 /// NM_001128127 // GK // glycerol	GK	NM_000167	0.00837253	-1.78027
16205	8017262	NM_032043 // BRIP1 // BRCA1 interacting protein C-terminal helicase 1 // 17q22.2 // 839	BRIP1	NM_032043	0.000114638	-1.7787
32041	8171013	NM_001303543 // VBP1 // von Hippel-Lindau binding protein 1 // Xq28 // 7411 /// NM_0013	VBP1	NM_001303543	0.00679119	-1.77416
4796	7902634	NM_025065 // RPF1 // ribosome production factor 1 homolog // 1p22.3 // 80135 /// ENST00	RPF1	NM_025065	0.000142063	-1.77379
25969	8114193	"NM_001033503 // SAR1B // secretion associated, Ras related GTPase 1B // 5q31.1 // 51128"	SAR1B	NM_001033503	6.19E-05	-1.77288
9694	7951008	NM_024116 // TAF1D // TATA box binding protein associated factor 1D // 11q21 // 79101 /	TAF1D	NM_024116	1.21E-05	-1.7722
29718	8149399	NM_152271 // LONRF1 // LON peptidase N-terminal domain and ring finger 1 // 8p23.1 // 9	LONRF1	NM_152271	0.000172359	-1.77096
18790	8042830	"NM_006636 // MTHFD2 // methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, met"	MTHFD2	NM_006636	0.00204015	-1.77078
23899	8094688	NM_001278590 // LIAS // lipoic acid synthetase // 4p14 // 11019 /// NM_001278591 // LIA	LIAS	NM_001278590	0.000105232	-1.76905
17571	8030978	NM_138374 // ZNF845 // zinc finger protein 845 // 19q13.42 // 91664 /// XM_005259401 //	ZNF845	NM_138374	0.000126451	-1.76772
15453	8009353	"NM_012417 // PITPNC1 // phosphatidylinositol transfer protein, cytoplasmic 1 // 17q24.2"	PITPNC1	NM_012417	0.000883721	-1.76374
14914	8003953	NM_001270481 // PSMB6 // proteasome subunit beta 6 // 17p13 // 5694 /// NM_002798 // PS	PSMB6	NM_001270481	5.68E-06	-1.76174
27693	8130952	NM_002793 // PSMB1 // proteasome subunit beta 1 // 6q27 // 5689 /// ENST00000262193 // 	PSMB1	NM_002793	2.20E-06	-1.76134
23065	8085815	NM_001068 // TOP2B // topoisomerase (DNA) II beta // 3p24 // 7155 /// XM_005265427 // T	TOP2B	NM_001068	0.000128718	-1.76043
20259	8057719	NM_014362 // HIBCH // 3-hydroxyisobutyryl-CoA hydrolase // 2q32.2 // 26275 /// NM_19804	HIBCH	NM_014362	9.87E-05	-1.75549
9434	7948424	NM_017840 // MRPL16 // mitochondrial ribosomal protein L16 // 11q12.1 // 54948 /// XM_0	MRPL16	NM_017840	2.83E-08	-1.75536
12489	7979281	NM_001008396 // WDHD1 // WD repeat and HMG-box DNA binding protein 1 // 14q22.2 // 1116	WDHD1	NM_001008396	0.00145612	-1.75451
31177	8163185	NM_001244938 // TXN // thioredoxin // 9q31 // 7295 /// NM_003329 // TXN // thioredoxin 	TXN	NM_001244938	0.00789828	-1.75386
27080	8124521	"NM_003541 // HIST1H4K // histone cluster 1, H4k // 6p22.1 // 8362 /// NM_021968 // HIST"	HIST1H4K	NM_003541	5.94E-07	-1.7528
18937	8043995	"NM_000877 // IL1R1 // interleukin 1 receptor, type I // 2q12 // 3554 /// NM_001288706 /"	IL1R1	NM_000877	0.0114974	-1.75057
6949	7924476	"NM_001201536 // TAF1A // TATA box binding protein (TBP)-associated factor, RNA polymera"	TAF1A	NM_001201536	0.00190505	-1.75006
23559	8091354	NM_003071 // HLTF // helicase-like transcription factor // 3q25.1-q26.1 // 6596 /// NM_	HLTF	NM_003071	0.000436409	-1.74795
12036	7974587	NM_018477 // ACTR10 // actin-related protein 10 homolog (S. cerevisiae) // 14q23.1 // 5	ACTR10	NM_018477	2.51E-06	-1.7475
25378	8108627	NR_026703 // VTRNA1-1 // vault RNA 1-1 // 5q31.3 // 56664 /// uc011czv.1 // VTRNA1-1 //	VTRNA1-1	NR_026703	5.69E-05	-1.74716
7049	7925480	NM_000143 // FH // fumarate hydratase // 1q42.1 // 2271 /// XM_011544132 // FH // fumar	FH	NM_000143	0.000365775	-1.74696
9756	7951485	"NM_017515 // SLC35F2 // solute carrier family 35, member F2 // 11q22.3 // 54733 /// XM_"	SLC35F2	NM_017515	0.000756258	-1.74526
24099	8096533	OTTHUMT00000363062 // COX7A2P2 // cytochrome c oxidase subunit VIIa polypeptide 2 (live	COX7A2P2	OTTHUMT00000363062	7.14E-06	-1.74447
22689	8082133	"NM_006810 // PDIA5 // protein disulfide isomerase family A, member 5 // 3q21.1 // 10954"	PDIA5	NM_006810	0.00222136	-1.74428
4968	7904433	NM_006623 // PHGDH // phosphoglycerate dehydrogenase // 1p12 // 26227 /// XM_011541226 	PHGDH	NM_006623	6.80E-05	-1.74384
11361	7968333	NM_005800 // USPL1 // ubiquitin specific peptidase like 1 // 13q12.3 // 10208 /// XM_00	USPL1	NM_005800	3.61E-05	-1.73944
28257	8136341	"NM_001293085 // BPGM // 2,3-bisphosphoglycerate mutase // 7q33 // 669 /// NM_001724 // "	BPGM	NM_001293085	2.45E-05	-1.73696
17769	8032749	"NR_002602 // SNORD37 // small nucleolar RNA, C/D box 37 // 19p13.3 // 26812 /// ENST000"	SNORD37	NR_002602	0.000405996	-1.73561
14265	7997381	NM_001100624 // CENPN // centromere protein N // 16q23.2 // 55839 /// NM_001100625 // C	CENPN	NM_001100624	0.00225146	-1.73487
19674	8051583	"NM_000104 // CYP1B1 // cytochrome P450, family 1, subfamily B, polypeptide 1 // 2p22.2 "	CYP1B1	NM_000104	0.000940766	-1.7306
6753	7922414	"NR_003942 // SNORD76 // small nucleolar RNA, C/D box 76 // 1q25.1 // 692196 /// ENST000"	SNORD76	NR_003942	0.000418255	-1.72989
13656	7990949	ENST00000503040 // RPL9 // ribosomal protein L9 // 4p13 // 6133 /// ENST00000506581 // 	RPL9	ENST00000503040	4.51E-07	-1.72964
9281	7947248	NM_031217 // KIF18A // kinesin family member 18A // 11p14.1 // 81930 /// ENST0000026318	KIF18A	NM_031217	0.0125575	-1.72935
30541	8156982	NM_001042550 // SMC2 // structural maintenance of chromosomes 2 // 9q31.1 // 10592 /// 	SMC2	NM_001042550	0.00627303	-1.72617
16760	8022814	ENST00000551702 // HNRNPA1 // heterogeneous nuclear ribonucleoprotein A1 // 12q13.1 // 	HNRNPA1	ENST00000551702	6.35E-05	-1.72205
14287	7997642	NM_031476 // CRISPLD2 // cysteine-rich secretory protein LCCL domain containing 2 // 16	CRISPLD2	NM_031476	0.00208941	-1.72019
22916	8084423	"NM_001278708 // PSMD2 // proteasome 26S subunit, non-ATPase 2 // 3q27.1 // 5708 /// NM_"	PSMD2	NM_001278708	0.00441081	-1.71941
32432	8174610	NM_001243963 // LRCH2 // leucine-rich repeats and calponin homology (CH) domain contain	LRCH2	NM_001243963	0.00026154	-1.71852
12150	7975976	"NM_012111 // AHSA1 // AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yea"	AHSA1	NM_012111	1.82E-05	-1.71785
7604	7931097	NM_002775 // HTRA1 // HtrA serine peptidase 1 // 10q26.3 // 5654 /// ENST00000368984 //	HTRA1	NM_002775	0.000331181	-1.71714
9575	7949894	OTTHUMT00000350919 // RPL37P2 // ribosomal protein L37 pseudogene 2 // 11q13 // 116730	RPL37P2	OTTHUMT00000350919	0.00498935	-1.71629
14925	8004144	NM_001258217 // MIS12 // MIS12 kinetochore complex component // 17p13.2 // 79003 /// NM	MIS12	NM_001258217	1.84E-05	-1.71396
10412	7958031	NM_017915 // PARPBP // PARP1 binding protein // 12q23.2 // 55010 /// XM_011538506 // PA	PARPBP	NM_017915	0.0027263	-1.71395
17407	8029377	NM_013398 // ZNF224 // zinc finger protein 224 // 19q13.2 // 7767 /// XM_005259221 // Z	ZNF224	NM_013398	0.000342624	-1.71038
23483	8090533	NM_001199469 // ISY1 // ISY1 splicing factor homolog // 3q21.3 // 57461 /// NM_00120489	ISY1	NM_001199469	4.76E-05	-1.70887
30428	8155883	NM_012383 // OSTF1 // osteoclast stimulating factor 1 // 9q13-q21.2 // 26578 /// XM_006	OSTF1	NM_012383	0.0012189	-1.70733
27561	8129590	NM_003569 // STX7 // syntaxin 7 // 6q23.1 // 8417 /// XM_011536178 // STX7 // syntaxin 	STX7	NM_003569	6.04E-05	-1.70724
16285	8018305	NM_001002032 // HN1 // hematological and neurological expressed 1 // 17q25.1 // 51155 /	HN1	NM_001002032	4.67E-05	-1.70695
27402	8127767	NM_022726 // ELOVL4 // ELOVL fatty acid elongase 4 // 6q14 // 6785 /// ENST00000369816 	ELOVL4	NM_022726	0.00516075	-1.70643
24217	8097647	NM_001040876 // ABCE1 // ATP binding cassette subfamily E member 1 // 4q31 // 6059 /// 	ABCE1	NM_001040876	0.000503688	-1.70563
20593	8061324	NM_012255 // XRN2 // 5-3 exoribonuclease 2 // 20p11.2-p11.1 // 22803 /// XM_011529184 /	XRN2	NM_012255	9.89E-05	-1.7056
27383	8127629	NM_001865 // COX7A2 // cytochrome c oxidase subunit VIIa polypeptide 2 (liver) // 6q12 	COX7A2	NM_001865	9.63E-05	-1.70488
27607	8130071	NM_024713 // KATNBL1 // katanin p80 subunit B-like 1 // 15q14 // 79768 /// XM_005254666	KATNBL1	NM_024713	0.000163432	-1.70454
24968	8104449	"NM_001306153 // CCT5 // chaperonin containing TCP1, subunit 5 (epsilon) // 5p15.2 // 22"	CCT5	NM_001306153	0.00114622	-1.70416
24674	8101828	NM_005723 // TSPAN5 // tetraspanin 5 // 4q23 // 10098 /// XM_005262680 // TSPAN5 // tet	TSPAN5	NM_005723	0.00431797	-1.70395
17645	8031632	"NR_003127 // ZNF542P // zinc finger protein 542, pseudogene // 19q13.43 // 147947 /// N"	ZNF542P	NR_003127	0.000470662	-1.70325
10466	7958784	NM_000690 // ALDH2 // aldehyde dehydrogenase 2 family (mitochondrial) // 12q24.2 // 217	ALDH2	NM_000690	0.00258888	-1.70323
28902	8142120	NM_005746 // NAMPT // nicotinamide phosphoribosyltransferase // 7q22.3 // 10135 /// XM_	NAMPT	NM_005746	0.00432394	-1.70264
26888	8122818	NM_001286562 // ARMT1 // acidic residue methyltransferase 1 // 6q25.1 // 79624 /// NM_0	ARMT1	NM_001286562	8.93E-05	-1.70246
22750	8082816	"NM_021203 // SRPRB // signal recognition particle receptor, B subunit // 3q22.1 // 5847"	SRPRB	NM_021203	0.00230355	-1.70246
16972	8024900	NM_001048201 // UHRF1 // ubiquitin-like with PHD and ring finger domains 1 // 19p13.3 /	UHRF1	NM_001048201	0.00135309	-1.70208
6339	7918467	NM_001006945 // LRIF1 // ligand dependent nuclear receptor interacting factor 1 // 1p13	LRIF1	NM_001006945	4.17E-06	-1.70153
28062	8134257	"NM_004126 // GNG11 // guanine nucleotide binding protein (G protein), gamma 11 // 7q21 "	GNG11	NM_004126	0.000356801	-1.70124
29964	8151561	"NM_001170796 // ZFAND1 // zinc finger, AN1-type domain 1 // 8q21.13 // 79752 /// NM_001"	ZFAND1	NM_001170796	0.00206042	-1.69973
14550	8000409	OTTHUMT00000417269 // HMGN2P5 // high mobility group nucleosomal binding domain 2 pseud	HMGN2P5	OTTHUMT00000417269	9.44E-07	-1.69867
26553	8119595	NM_198486 // RPL7L1 // ribosomal protein L7-like 1 // 6p21.1 // 285855 /// XM_005249026	RPL7L1	NM_198486	9.02E-07	-1.69782
18475	8039692	NM_001144989 // ZNF814 // zinc finger protein 814 // 19q13.43 // 730051 /// ENST0000043	ZNF814	NM_001144989	0.00119693	-1.69666
21525	8070411	NR_026542 // B3GALT5-AS1 // B3GALT5 antisense RNA 1 // 21q22.2 // 114041 /// NR_026543 	B3GALT5-AS1	NR_026542	5.57E-05	-1.69567
6279	7917771	"NM_014597 // DNTTIP2 // deoxynucleotidyltransferase, terminal, interacting protein 2 //"	DNTTIP2	NM_014597	3.74E-05	-1.69481
18660	8041542	NM_138801 // GALM // galactose mutarotase (aldose 1-epimerase) // 2p22.1 // 130589 /// 	GALM	NM_138801	0.000176345	-1.69438
27843	8132406	NM_005402 // RALA // v-ral simian leukemia viral oncogene homolog A (ras related) // 7p	RALA	NM_005402	3.17E-06	-1.69391
14781	8002660	NM_001142317 // TXNL4B // thioredoxin-like 4B // 16q22.2 // 54957 /// NM_001142318 // T	TXNL4B	NM_001142317	3.58E-05	-1.69386
27330	8127031	NM_001270472 // MCM3 // minichromosome maintenance complex component 3 // 6p12 // 4172 	MCM3	NM_001270472	0.00161083	-1.69207
12067	7975045	"NM_005956 // MTHFD1 // methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, met"	MTHFD1	NM_005956	0.00281808	-1.69201
29786	8150103	NM_002095 // GTF2E2 // general transcription factor IIE subunit 2 // 8p12 // 2961 /// X	GTF2E2	NM_002095	7.54E-07	-1.6911
24310	8098423	NM_018248 // NEIL3 // nei-like DNA glycosylase 3 // 4q34.3 // 55247 /// ENST00000264596	NEIL3	NM_018248	0.00433415	-1.6892
27416	8127989	"NR_003044 // SNORD50B // small nucleolar RNA, C/D box 50B // 6q14.3 // 692088 /// uc010"	SNORD50B	NR_003044	0.00373762	-1.688
19187	8046201	NM_001294145 // SSB // Sjogren syndrome antigen B (autoantigen La) // 2q31.1 // 6741 //	SSB	NM_001294145	1.36E-06	-1.68636
15721	8012581	NM_004853 // STX8 // syntaxin 8 // 17p12 // 9482 /// NR_033656 // STX8 // syntaxin 8 //	STX8	NM_004853	0.00218345	-1.68458
5896	7913814	NM_015484 // SYF2 // SYF2 pre-mRNA-splicing factor // 1p36.11 // 25949 /// NM_207170 //	SYF2	NM_015484	0.00577333	-1.68425
11384	7968711	NM_001145079 // COG6 // component of oligomeric golgi complex 6 // 13q14.11 // 57511 //	COG6	NM_001145079	5.06E-05	-1.68357
5555	7910387	NM_021205 // RHOU // ras homolog family member U // 1q42.11-q42.3 // 58480 /// NR_03796	RHOU	NM_021205	0.00654085	-1.68283
23010	8085263	NM_018447 // EMC3 // ER membrane protein complex subunit 3 // 3p25.3 // 55831 /// XM_00	EMC3	NM_018447	1.91E-06	-1.68193
14817	8003068	NM_005792 // MPHOSPH6 // M-phase phosphoprotein 6 // 16q23.3 // 10200 /// XM_011522808 	MPHOSPH6	NM_005792	0.000922565	-1.68192
12298	7977340	NM_033271 // BTBD6 // BTB (POZ) domain containing 6 // 14q32 // 90135 /// XM_005268188 	BTBD6	NM_033271	1.66E-08	-1.68064
24270	8098084	NM_001281737 // ETFDH // electron-transferring-flavoprotein dehydrogenase // 4q32-q35 /	ETFDH	NM_001281737	0.00659413	-1.67847
16738	8022612	NM_001308225 // ZNF521 // zinc finger protein 521 // 18q11.2 // 25925 /// NM_015461 // 	ZNF521	NM_001308225	0.0133825	-1.67707
26313	8117368	"NM_003542 // HIST1H4C // histone cluster 1, H4c // 6p22.1 // 8364 /// ENST00000377803 /"	HIST1H4C	NM_003542	0.000699696	-1.6765
26753	8121547	"NM_001033564 // FAM229B // family with sequence similarity 229, member B // 6q21 // 619"	FAM229B	NM_001033564	0.00196978	-1.67554
26873	8122705	NM_001252049 // PCMT1 // protein-L-isoaspartate (D-aspartate) O-methyltransferase // 6q	PCMT1	NM_001252049	5.33E-06	-1.6748
28552	8138977	NM_015283 // DPY19L1 // dpy-19-like 1 (C. elegans) // 7p14.2 // 23333 /// XM_011515245 	DPY19L1	NM_015283	3.11E-05	-1.67472
17375	8029065	"NM_000709 // BCKDHA // branched chain keto acid dehydrogenase E1, alpha polypeptide // "	BCKDHA	NM_000709	0.000538046	-1.67436
21752	8072488	NM_004147 // DRG1 // developmentally regulated GTP binding protein 1 // 22q12.2 // 4733	DRG1	NM_004147	4.30E-07	-1.67317
6747	7922402	"NR_002746 // SNORD47 // small nucleolar RNA, C/D box 47 // 1q25.1 // 26802 /// ENST0000"	SNORD47	NR_002746	0.00194928	-1.67115
25136	8106107	NM_001284403 // PTCD2 // pentatricopeptide repeat domain 2 // 5q13.2 // 79810 /// NM_00	PTCD2	NM_001284403	4.46E-05	-1.6696
16219	8017437	NM_017647 // FTSJ3 // FtsJ homolog 3 (E. coli) // 17q23.3 // 117246 /// ENST00000427159	FTSJ3	NM_017647	3.04E-05	-1.66807
8053	7935707	NM_001278 // CHUK // conserved helix-loop-helix ubiquitous kinase // 10q24-q25 // 1147 	CHUK	NM_001278	0.000693403	-1.66793
8382	7938890	NM_001145166 // PRMT3 // protein arginine methyltransferase 3 // 11p15.1 // 10196 /// N	PRMT3	NM_001145166	0.00286583	-1.66534
27068	8124459	NM_001242797 // ZNF322 // zinc finger protein 322 // 6p22.1 // 79692 /// NM_001242798 /	ZNF322	NM_001242797	2.13E-05	-1.66153
5937	7914202	NR_024127 // SNHG12 // small nucleolar RNA host gene 12 // 1p35.3 // 85028 /// ENST0000	SNHG12	NR_024127	4.72E-05	-1.66132
28285	8136631	"NM_001256510 // SSBP1 // single-stranded DNA binding protein 1, mitochondrial // 7q34 /"	SSBP1	NM_001256510	4.87E-05	-1.66094
